Schulnummer;Schultyp;Name;Strasse;PLZ;Ort;Homepage;Link
"0013";"Gymnasium";"Kronberg-Gymnasium Aschaffenburg   ";"Fasaneriestr. 33";"63739";"Aschaffenburg";"kronberg-gymnasium.de";"/schule/0013.html"
"0015";"Gymnasium";"Karl-Theodor-von-Dalberg-Gymnasium Aschaffenburg  ";"Grünewaldstr. 18";"63739";"Aschaffenburg";"www.dalberg-gymnasium.de/";"/schule/0015.html"
"0016";"Gymnasium";"Maria-Ward-Schule Mädchengymnasium der Maria-Ward-Stiftung Aschaffenburg";"Brentanoplatz 8";"63739";"Aschaffenburg";"mws-ab.de";"/schule/0016.html"
"0412";"Realschule";"Maria-Ward-Schule Aschaffenburg Mädchenrealschule der Maria-Ward-Stiftung Aschaffenburg ";"Brentanoplatz 8";"63739";"Aschaffenburg";"mws-ab.de";"/schule/0412.html"
"7001";"Volksschule zur sonderp?dagog. F?rderung";"Fröbel-Schule Aschaffenburg Förderzentrum Förderschwerpunkt Lernen ";"Friesenstr. 2";"63739";"Aschaffenburg";"www.froebelschule-ab.de";"/schule/7001.html"
"7027";"Volksschule zur sonderp?dagog. F?rderung";"Comenius-Schule, Förderzentrum, Förderschwerpunkt geistige Entwicklung Aschaffenburg ";"Bessenbacher Weg 125";"63739";"Aschaffenburg";"www.comenius-schule-ab.de";"/schule/7027.html"
"7048";"Sonstige Berufsfachschule";"Berufsfachschule für Kosmetik, Charlotte Reichert, Aschaffenburg  ";"Erthalstsr. 16";"63739";"Aschaffenburg";" ";"/schule/7048.html"
"7074";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Pflege in Aschaffenburg der Hans-Weinberger-Akademie der Arbeiterwohlfahrt e.V. München";"Berliner Allee 3";"63739";"Aschaffenburg";"www.hwa-online.de";"/schule/7074.html"
"7081";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Pflege der Klinikum Aschaffenburg-Alzenau gGmbH in Aschaffenburg ";"Am Hasenkopf 1";"63739";"Aschaffenburg";"www.klinikum-ab-alz.de";"/schule/7081.html"
"7106";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule f.Anästhesietech. Assistentinnen u. Assistenten sowie Operationstechn. Assistent"innen d.d. Krankenhauszweckverband AB";"Am Hasenkopf 1";"63739";"Aschaffenburg";" ";"/schule/7106.html"
"7150";"Gewerbliche Fachschule";"Städt. Fachschule (Meisterschule) für Steinmetzen und Steinbildhauer Aschaffenburg ";"Schloßgasse 27";"63739";"Aschaffenburg";"www.steinmetzschule-aschaffenburg.de";"/schule/7150.html"
"7166";"Berufsfachschule f. Fremdsprachenberufe";"Euro-Sprachenschule Aschaffenburg Priv. Berufsfachschule für Fremdsprachenberufe ";"Goldbacher Str. 6";"63739";"Aschaffenburg";"https://www.euroakademie.de/standorte/aschaffenburg";"/schule/7166.html"
"7180";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Krankenpflege der Klinikum Aschaffenburg-Alzenau gGmbH ";"Am Hasenkopf 1";"63739";"Aschaffenburg";"www.klinikum-ab-alz.de";"/schule/7180.html"
"7181";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Kinderkrankenpflege der Klinikum Aschaffenburg-Alzenau gGmbH";"Am Hasenkopf 1";"63739";"Aschaffenburg";"www.klinikum-ab-alz.de";"/schule/7181.html"
"7223";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Altenpflege Aschaffenburg der Hans-Weinberger-Akademie der Arbeiterwohlfahrt";"Berliner Allee 3";"63739";"Aschaffenburg";"www.hwa-online.de";"/schule/7223.html"
"7247";"Kaufm?nnische Berufsfachschule";"Priv.Berufsfachschule für Euro- Management-Assistent/in d. Euro- Berufsfachschule für Wirtschaft u. Fremdsprachen GmbH i.Aschaffenburg";"Goldbacher Str. 6";"63739";"Aschaffenburg";"https://www.euroakademie.de/standorte/aschaffenburg.html";"/schule/7247.html"
"7294";"Berufsfachschule des Gesundheitswesens";"Priv. Berufsfachschule für Physiotherapie Aschaffenburg der Hans-Weinberger-Akademie der Arbeiterwohlfahrt e.V.";"Berliner Allee 3";"63739";"Aschaffenburg";"www.hwa-online.de";"/schule/7294.html"
"7438";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule f.Altenpflegehilfe Aschaffenburg der Hans-Weinberger-Akademie der Arbeiterwohlfahrt";"Berliner Allee 3";"63739";"Aschaffenburg";"www.hwa-online.de";"/schule/7438.html"
"7500";"Grund- u. Mittelschule";"Brentano-Grundschule Aschaffenburg   ";"Brentanostr. 2";"63739";"Aschaffenburg";"www.brentano-gs-ab.de";"/schule/7500.html"
"7501";"Grund- u. Mittelschule";"Brentano-Mittelschule Aschaffenburg   ";"Schweinheimer Str. 11";"63739";"Aschaffenburg";"www.brentano-mittelschule.de";"/schule/7501.html"
"7505";"Grund- u. Mittelschule";"Grünewald-Grundschule Aschaffenburg  ";"Ludwigsallee 2";"63739";"Aschaffenburg";"www.gruenewaldschule.de";"/schule/7505.html"
"7507";"Grund- u. Mittelschule";"Kolping-Grundschule Aschaffenburg   ";"Kolpingstr. 4";"63739";"Aschaffenburg";"www.kolping-aschaffenburg.de";"/schule/7507.html"
"0014";"Gymnasium";"Friedrich-Dessauer-Gymnasium Aschaffenburg  ";"Stadtbadstr. 4";"63741";"Aschaffenburg";"https://www.fdg-online.de";"/schule/0014.html"
"0578";"Realschule";"Private staatlich anerkannte Realschule Krauß, Private Schulen Krauß e.V., gemeinn. Schulverein, Aschaffenburg";"Erlenmeyerstr. 3 - 5";"63741";"Aschaffenburg";"www.pwk-ev.de";"/schule/0578.html"
"0854";"Fachoberschule";"Staatliche Fachoberschule Aschaffenburg  ";"Ottostraße 3";"63741";"Aschaffenburg";"www.fosbos-aschaffenburg.de";"/schule/0854.html"
"0804";"Berufsoberschule";"Staatliche Berufsoberschule Aschaffenburg  ";"Ottostraße 3";"63741";"Aschaffenburg";"www.fosbos-aschaffenburg.de";"/schule/0804.html"
"1080";"Realschule";"Ruth-Weiss-Realschule Aschaffenburg  ";"Darmstädter Str. 2";"63741";"Aschaffenburg";"https://www.ruth-weiss-realschule.de";"/schule/1080.html"
"7009";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Physiotherapie Aschaffenburg des IB e.V. (IB) ";"Erlenmeyerstr. 6";"63741";"Aschaffenburg";" ";"/schule/7009.html"
"7077";"Volksschule zur sonderp?dagog. F?rderung";"Förderzentrum, Förderschwerpunkt körperliche u. motorische Entwickl. Verein f. Körper- u. Mehrfachbeh. e.V. Würzburg in Aschaffenburg";"Schneidmühlweg 3";"63741";"Aschaffenburg";"www.sokba.de";"/schule/7077.html"
"7088";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Logopädie Aschaffenburg des IB e.V. (IB) ";"Erlenmeyerstr. 4 - 6";"63741";"Aschaffenburg";"www.med-akademie.de/standorte/aschaffenburg.html";"/schule/7088.html"
"7097";"Wirtschaftsschule";"Private Wirtschaftsschule Krauss Aschaffenburg  ";"Erlenmeyerstr. 3 - 5";"63741";"Aschaffenburg";"www.psk-ab.de";"/schule/7097.html"
"7149";"Hauswirtschaftliche Fachschule";"Fachschule für Heilerziehungspflege der bfz GmbH in Aschaffenburg  ";"Lange Str. 14";"63741";"Aschaffenburg";" ";"/schule/7149.html"
"7158";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Ergotherapie Aschaffenburg des IB e.V. (IB) ";"Erlenmeyerstr. 4 - 6";"63741";"Aschaffenburg";"www.med-akademie.de";"/schule/7158.html"
"7211";"Berufsschule";"Staatl. Berufsschule II Aschaffenburg  ";"Seidelstr. 2";"63741";"Aschaffenburg";"www.bs2ab.de";"/schule/7211.html"
"7236";"Berufsfachs. f. Hauswirtschaft u. Sozialberufe";"Staatl. Berufsfachschule für Sozialpflege in Aschaffenburg  ";"Seidelstr. 4";"63741";"Aschaffenburg";"www.bszab.de";"/schule/7236.html"
"7237";"Berufsschule";"Staatl. Berufsschule I Aschaffenburg  ";"Seidelstr. 2";"63741";"Aschaffenburg";"www.berufsschule1ab.de";"/schule/7237.html"
"7249";"Fachakademie";"Priv. Fachakademie für Sozial- pädagogik der Caritas-Schulen gGmbH in Aschaffenburg ";"Friederich-Fröbel-Straße 3";"63741";"Aschaffenburg";"www.faks-ab.de";"/schule/7249.html"
"7252";"Kaufm?nnische Berufsfachschule";"Staatl. Berufsfachschule für informations- u.telekommunikations- technische Berufe Aschaffenburg ";"Seidelstr. 2";"63741";"Aschaffenburg";"www.bs2ab.de";"/schule/7252.html"
"7266";"Gewerbliche Fachschule";"Staatl. Fachschule (Technikerschule) für Maschinenbau Aschaffenburg ";"Seidelstr. 2";"63741";"Aschaffenburg";"www.technikerschuleab.de";"/schule/7266.html"
"7286";"Hauswirtschaftliche Fachschule";"Fachschule f. Heilerziehungspflege- hilfe d. bfz GmbH in Aschaffenburg  ";"Lange Str. 14";"63741";"Aschaffenburg";" ";"/schule/7286.html"
"7291";"Berufsschule";"Staatl. Berufsschule III Aschaffenburg  ";"Seidelstr. 4";"63741";"Aschaffenburg";"www.bszab.de";"/schule/7291.html"
"7292";"Berufsfachs. f. Hauswirtschaft u. Sozialberufe";"Staatliche Berufsfachschule für Kinderpflege Aschaffenburg  ";"Seidelstr. 4";"63741";"Aschaffenburg";"www.bszab.de";"/schule/7292.html"
"7293";"Berufsfachs. f. Hauswirtschaft u. Sozialberufe";"Staatl. Berufsfachschule für Ernährung und Versorgung Aschaffenburg ";"Seidelstr. 4";"63741";"Aschaffenburg";"www.bszab.de";"/schule/7293.html"
"7317";"Gewerbliche Fachschule";"Städt. Fachschule (Technikerschule) für Elektrotechnik (Schwerpunkt Energie- u. Automatisierungstechn.) Aschaffenburg";"Seidelstr. 2";"63741";"Aschaffenburg";"www.technikerschuleab.de";"/schule/7317.html"
"7318";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Hebammen am Klinikum Aschaffenburg-Alzenau  ";"Hafenbahnhofstr. 25";"63741";"Aschaffenburg";"www.klinikum-aschaffenburg.de";"/schule/7318.html"
"7502";"Grund- u. Mittelschule";"Dalberg-Grundschule Aschaffenburg   ";"Boppstr. 18";"63741";"Aschaffenburg";"www.dalberg-gs.de";"/schule/7502.html"
"7503";"Grund- u. Mittelschule";"Dalberg-Mittelschule Aschaffenburg   ";"Boppstr. 18";"63741";"Aschaffenburg";"dalberg-mittelschule.de";"/schule/7503.html"
"7504";"Grund- u. Mittelschule";"Erthal-Grundschule Aschaffenburg   ";"Friedrich-Krane-Platz 5";"63741";"Aschaffenburg";" ";"/schule/7504.html"
"7508";"Grund- u. Mittelschule";"Christian-Schad-Grundschule Aschaffenburg-Nilkheim  ";"Lindenweg 14";"63741";"Aschaffenburg";"www.christian-schad-volksschule.de";"/schule/7508.html"
"7511";"Grund- u. Mittelschule";"Schiller-Grundschule Aschaffenburg   ";"Schulstr. 39";"63741";"Aschaffenburg";"www.schillerschule-damm.de";"/schule/7511.html"
"7512";"Grund- u. Mittelschule";"Grundschule Aschaffenburg-Strietwald  ";"Herrenwaldstr. 40";"63741";"Aschaffenburg";"www.strietwaldschule.de";"/schule/7512.html"
"7514";"Grund- u. Mittelschule";"Schönberg-Mittelschule Aschaffenburg  ";"Wilhelmstr. 62";"63741";"Aschaffenburg";"www.schoenberg-hs.de";"/schule/7514.html"
"7219";"Berufsschule zur sonderp?dagog. F?rderung";"Johannes-de-la-Salle-Schule,Berufs- schule z. sonderpäd. Förd., Förder- schwerp. Lernen u. emot.u.soz.Entw. in Aschaff.d.Caritas-Schulen gGmbH";"Rhönstraße 21";"63743";"Aschaffenburg";"www.jdlsalle-bs-aschaffenburg.de";"/schule/7219.html"
"7506";"Grund- u. Mittelschule";"Hefner-Alteneck-Mittelschule Aschaffenburg  ";"Bavariastr. 39";"63743";"Aschaffenburg";"www.hefner-alteneck-vs.de";"/schule/7506.html"
"7509";"Grund- u. Mittelschule";"Pestalozzi-Grundschule Aschaffenburg  ";"Matthäusstr. 18";"63743";"Aschaffenburg";"pestalozzigrundschule.de/";"/schule/7509.html"
"7510";"Grund- u. Mittelschule";"Pestalozzi-Mittelschule Aschaffenburg  ";"Sonnenstr. 27";"63743";"Aschaffenburg";"www.pestalozzi-ms.de";"/schule/7510.html"
